,Product Name ,Product Cost,Link,Product_Img_Link,HighLight,Description,Specification,feedback ,seller
0,DOVE Men+Care Fresh & Clean 2in1 Shampoo+Conditioner  (340 ml),₹337,https://www.flipkart.com/dove-men-care-fresh-clean-2in1-shampoo-conditioner/p/itma0845a36a9bc4?pid=SMPGNP7SWTMHPMUZ&lid=LSTSMPGNP7SWTMHPMUZIYTFWZ&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=en_6so881l4oRYKhvXcafEzDeAtLxbNhwhKUCyJpk%2Fo4WeS4Qv6TMwtUx1kLDNG6jyxFmq2Axfq5x1howMxE8dqUw%3D%3D&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/x/h/p/-original-imagnwuqehpszbzy.jpeg?q=70,"Scalp Cleansing Shampoo Ideal For: Men Suitable For: All Hair Types Composition: Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Dimethiconol and Trideceth-10 and TEA-Dodecylbenzenesulfonate, Sodium Chloride, Perfume, Carbomer, Sodium Hydroxide, Guar Hydroxypropyltrimonium Chloride, Disodium EDTA, Menthol, Citric Acid, Caffeine, Mentha Piperita (Peppermint) Leaf Extract, Sodium Benzoate, Limonene, Linalool",No Description,"Applied For	Scalp Cleansing
pack_of	1",This is very disappointing....bottel seal with only cello tape...there are no other plastic seal that normay pump bottel seal with...i don't know it is duplicate products or real....I'm really scare of using this product...not expected this :- very good :- Very nice 👍,SURICYBCOMBazaar4.7
5,L'Oréal Paris Hyaluron Moisture Shampoo & Conditioner | Aishwarya & Aditi's 72H Combo(340ml + 180ml)  (2 Items in the set),₹536,https://www.flipkart.com/l-oral-paris-hyaluron-moisture-shampoo-conditioner-aishwarya-aditi-s-72h-combo-340ml-180ml/p/itmb3ea6ec40e4e3?pid=SMPGH7WSME3W82WH&lid=LSTSMPGH7WSME3W82WHTRWS0O&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&spotlightTagId=FkPickId_g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=75a12d0f-38e9-499f-b03d-69206f5a690f.SMPGH7WSME3W82WH.SEARCH&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/o/l/m/520-hyaluron-moisture-aishwarya-aditi-s-72h-hydrated-hair-combo-original-imagh7wugyrkuuck.jpeg?q=70,Pack of: 2 For: Men & Women Includes Hair Care Combo,No Description,"Model Number	Hyaluron Moisture - Aishwarya & Aditi's 72H Hydrated Hair Combo, (340 + 180 ml)
Sales Package	2
Ideal For	Men & Women
Type	Hair Care Combo
Net Quantity	2","I loved this product very amazing fragrance I am 1st time used this product result giving so good so smooth hair like saloon treatments so so lovely thank you so much flipkart very very good result giving us thank you again loreal give me a best result of my hair :- So nice product I love it and the moisturizing hair I love this product please buy now and it is on Flipkart in offer I love this product so much it is so much try this it is so good I love this product please check on :- Very nice packaging, I didn't expected this size, very large bottles of shampoo and conditioner, very nice for dry and rough hair",SURICYBCOMBazaar4.7
6,White Leaf Advanced Anti-Dandruff Shampoo With Haio Oil & Conditioner|Reduces Flaking  (3 Items in the set),₹599,https://www.flipkart.com/white-leaf-advanced-anti-dandruff-shampoo-haio-oil-conditioner-reduces-flaking/p/itm9b28935840f44?pid=CBKGNGZ8HTUXTV3U&lid=LSTCBKGNGZ8HTUXTV3UMTL9E3&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=75a12d0f-38e9-499f-b03d-69206f5a690f.CBKGNGZ8HTUXTV3U.SEARCH&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/xif0q/combo-kit/d/h/u/advanced-anti-dandruff-shampoo-with-haio-oil-conditioner-reduces-original-imagngz7bzhkykae.jpeg?q=70,"Pack of: 3 For: Men, Women Includes Hair Care Combo Organic Product For Professional Care",No Description,"Model Number	WL-HO-SP-COND-Combo_C18
Sales Package	Pack Of 3, 100ML Oil ,200ML Shampoo, 200ML Conditioner
Ideal For	Men, Women
Type	Hair Care Combo
Gift Pack	No
Other Traits	It is enriched with the goodness of 21 Rare Ayurvedic HerbsReduces Hair Fall
Country of Origin	India
